config,problem,mean_cost_usd,std_cost_usd,n_instances
A.V0,cox_timepiece_2025,0.021418,0.008163,8
A.V0,black_widow_pulsar_2024,0.010128,0.001164,8
A.V0,water_and_objects_2023,0.009474,0.001726,8
A.V1,cox_timepiece_2025,0.015146,0.009029,8
A.V1,black_widow_pulsar_2024,0.004762,0.003837,8
A.V1,water_and_objects_2023,0.003493,0.002935,8
A.V2,cox_timepiece_2025,0.005748,0.009630,8
A.V2,black_widow_pulsar_2024,0.003280,0.003927,8
A.V2,water_and_objects_2023,0.000253,0.000041,8
B.V0,cox_timepiece_2025,0.024480,0.004055,8
B.V0,black_widow_pulsar_2024,0.016272,0.001339,8
B.V0,water_and_objects_2023,0.012341,0.001245,8
B.V1,cox_timepiece_2025,0.008772,0.008814,8
B.V1,black_widow_pulsar_2024,0.006993,0.005653,8
B.V1,water_and_objects_2023,0.008398,0.003462,8
B.V2,cox_timepiece_2025,0.000088,0.000003,8
B.V2,black_widow_pulsar_2024,0.000000,0.000000,8
B.V2,water_and_objects_2023,0.000000,0.000000,8
C.V0,cox_timepiece_2025,0.026547,0.006037,8
C.V0,black_widow_pulsar_2024,0.022629,0.002554,8
C.V0,water_and_objects_2023,0.020267,0.002315,8
C.V1,cox_timepiece_2025,0.007901,0.001269,8
C.V1,black_widow_pulsar_2024,0.014784,0.001755,8
C.V1,water_and_objects_2023,0.014133,0.000908,8
C.V2,cox_timepiece_2025,0.007447,0.000883,8
C.V2,black_widow_pulsar_2024,0.007940,0.000707,8
C.V2,water_and_objects_2023,0.007612,0.000354,8
composed,cox_timepiece_2025,0.002485,0.000432,8
composed,black_widow_pulsar_2024,0.000000,0.000000,8
composed,water_and_objects_2023,0.000000,0.000000,8
