config,n,balanced_accuracy,ba_ci_lo,ba_ci_hi,f1_reject,precision_reject,recall_reject,accuracy,scoring_mae
A.V0,24,0.9524,0.8749,1.0000,0.9500,1.0000,0.9048,0.9167,0.0233
A.V1,24,0.8810,0.7500,0.9722,0.8649,1.0000,0.7619,0.7917,0.0538
A.V2,24,0.8810,0.7500,0.9545,0.8649,1.0000,0.7619,0.7917,0.0602
B.V0,24,0.9524,0.8696,1.0000,0.9500,1.0000,0.9048,0.9167,0.0240
B.V1,24,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2619
B.V2,24,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
C.V0,24,0.9524,0.8750,1.0000,0.9500,1.0000,0.9048,0.9167,0.0175
C.V1,24,0.9762,0.9167,1.0000,0.9756,1.0000,0.9524,0.9583,0.0084
C.V2,24,0.9762,0.9167,1.0000,0.9756,1.0000,0.9524,0.9583,0.0126
composed,24,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
